C:\Repository\lab\dataset3\3473.jpg,dataset3\3473.jpg,cat
C:\Repository\lab\dataset3\3523.jpg,dataset3\3523.jpg,cat
C:\Repository\lab\dataset3\2943.jpg,dataset3\2943.jpg,cat
C:\Repository\lab\dataset3\7830.jpg,dataset3\7830.jpg,cat
C:\Repository\lab\dataset3\4617.jpg,dataset3\4617.jpg,cat
C:\Repository\lab\dataset3\5720.jpg,dataset3\5720.jpg,cat
C:\Repository\lab\dataset3\4998.jpg,dataset3\4998.jpg,cat
C:\Repository\lab\dataset3\800.jpg,dataset3\800.jpg,cat
C:\Repository\lab\dataset3\4859.jpg,dataset3\4859.jpg,cat
C:\Repository\lab\dataset3\4536.jpg,dataset3\4536.jpg,cat
C:\Repository\lab\dataset3\9769.jpg,dataset3\9769.jpg,cat
C:\Repository\lab\dataset3\7492.jpg,dataset3\7492.jpg,cat
C:\Repository\lab\dataset3\2039.jpg,dataset3\2039.jpg,cat
C:\Repository\lab\dataset3\817.jpg,dataset3\817.jpg,cat
C:\Repository\lab\dataset3\1719.jpg,dataset3\1719.jpg,cat
C:\Repository\lab\dataset3\5658.jpg,dataset3\5658.jpg,cat
C:\Repository\lab\dataset3\5372.jpg,dataset3\5372.jpg,cat
C:\Repository\lab\dataset3\9053.jpg,dataset3\9053.jpg,cat
C:\Repository\lab\dataset3\387.jpg,dataset3\387.jpg,cat
C:\Repository\lab\dataset3\3795.jpg,dataset3\3795.jpg,cat
C:\Repository\lab\dataset3\1394.jpg,dataset3\1394.jpg,cat
C:\Repository\lab\dataset3\4896.jpg,dataset3\4896.jpg,cat
C:\Repository\lab\dataset3\4715.jpg,dataset3\4715.jpg,cat
C:\Repository\lab\dataset3\563.jpg,dataset3\563.jpg,cat
C:\Repository\lab\dataset3\3241.jpg,dataset3\3241.jpg,cat
C:\Repository\lab\dataset3\9692.jpg,dataset3\9692.jpg,cat
C:\Repository\lab\dataset3\2050.jpg,dataset3\2050.jpg,cat
C:\Repository\lab\dataset3\2957.jpg,dataset3\2957.jpg,cat
C:\Repository\lab\dataset3\4422.jpg,dataset3\4422.jpg,cat
C:\Repository\lab\dataset3\428.jpg,dataset3\428.jpg,cat
C:\Repository\lab\dataset3\4627.jpg,dataset3\4627.jpg,cat
C:\Repository\lab\dataset3\3797.jpg,dataset3\3797.jpg,cat
C:\Repository\lab\dataset3\5163.jpg,dataset3\5163.jpg,cat
C:\Repository\lab\dataset3\1186.jpg,dataset3\1186.jpg,cat
C:\Repository\lab\dataset3\1032.jpg,dataset3\1032.jpg,cat
C:\Repository\lab\dataset3\8539.jpg,dataset3\8539.jpg,cat
C:\Repository\lab\dataset3\9640.jpg,dataset3\9640.jpg,cat
C:\Repository\lab\dataset3\1395.jpg,dataset3\1395.jpg,cat
C:\Repository\lab\dataset3\6504.jpg,dataset3\6504.jpg,cat
C:\Repository\lab\dataset3\5827.jpg,dataset3\5827.jpg,cat
C:\Repository\lab\dataset3\4857.jpg,dataset3\4857.jpg,cat
C:\Repository\lab\dataset3\9477.jpg,dataset3\9477.jpg,cat
C:\Repository\lab\dataset3\4354.jpg,dataset3\4354.jpg,cat
C:\Repository\lab\dataset3\757.jpg,dataset3\757.jpg,cat
C:\Repository\lab\dataset3\2330.jpg,dataset3\2330.jpg,cat
C:\Repository\lab\dataset3\9004.jpg,dataset3\9004.jpg,cat
C:\Repository\lab\dataset3\7512.jpg,dataset3\7512.jpg,cat
C:\Repository\lab\dataset3\8168.jpg,dataset3\8168.jpg,cat
