C:\Repository\lab\dataset\cat\0000.jpg,dataset\cat\0000.jpg,cat
C:\Repository\lab\dataset\cat\0001.jpg,dataset\cat\0001.jpg,cat
C:\Repository\lab\dataset\cat\0002.jpg,dataset\cat\0002.jpg,cat
C:\Repository\lab\dataset\cat\0003.jpg,dataset\cat\0003.jpg,cat
C:\Repository\lab\dataset\cat\0004.jpg,dataset\cat\0004.jpg,cat
C:\Repository\lab\dataset\cat\0005.jpg,dataset\cat\0005.jpg,cat
C:\Repository\lab\dataset\cat\0006.jpg,dataset\cat\0006.jpg,cat
C:\Repository\lab\dataset\cat\0007.jpg,dataset\cat\0007.jpg,cat
C:\Repository\lab\dataset\cat\0008.jpg,dataset\cat\0008.jpg,cat
C:\Repository\lab\dataset\cat\0009.jpg,dataset\cat\0009.jpg,cat
C:\Repository\lab\dataset\cat\0010.jpg,dataset\cat\0010.jpg,cat
C:\Repository\lab\dataset\cat\0011.jpg,dataset\cat\0011.jpg,cat
C:\Repository\lab\dataset\cat\0012.jpg,dataset\cat\0012.jpg,cat
C:\Repository\lab\dataset\cat\0013.jpg,dataset\cat\0013.jpg,cat
C:\Repository\lab\dataset\cat\0014.jpg,dataset\cat\0014.jpg,cat
C:\Repository\lab\dataset\cat\0015.jpg,dataset\cat\0015.jpg,cat
C:\Repository\lab\dataset\cat\0016.jpg,dataset\cat\0016.jpg,cat
C:\Repository\lab\dataset\cat\0017.jpg,dataset\cat\0017.jpg,cat
C:\Repository\lab\dataset\cat\0018.jpg,dataset\cat\0018.jpg,cat
C:\Repository\lab\dataset\cat\0019.jpg,dataset\cat\0019.jpg,cat
C:\Repository\lab\dataset\cat\0020.jpg,dataset\cat\0020.jpg,cat
C:\Repository\lab\dataset\cat\0021.jpg,dataset\cat\0021.jpg,cat
C:\Repository\lab\dataset\cat\0022.jpg,dataset\cat\0022.jpg,cat
C:\Repository\lab\dataset\cat\0023.jpg,dataset\cat\0023.jpg,cat
C:\Repository\lab\dataset\cat\0024.jpg,dataset\cat\0024.jpg,cat
C:\Repository\lab\dataset\cat\0025.jpg,dataset\cat\0025.jpg,cat
C:\Repository\lab\dataset\cat\0026.jpg,dataset\cat\0026.jpg,cat
C:\Repository\lab\dataset\cat\0027.jpg,dataset\cat\0027.jpg,cat
C:\Repository\lab\dataset\cat\0028.jpg,dataset\cat\0028.jpg,cat
C:\Repository\lab\dataset\cat\0029.jpg,dataset\cat\0029.jpg,cat
C:\Repository\lab\dataset\cat\0030.jpg,dataset\cat\0030.jpg,cat
C:\Repository\lab\dataset\cat\0031.jpg,dataset\cat\0031.jpg,cat
C:\Repository\lab\dataset\cat\0032.jpg,dataset\cat\0032.jpg,cat
C:\Repository\lab\dataset\cat\0033.jpg,dataset\cat\0033.jpg,cat
C:\Repository\lab\dataset\cat\0034.jpg,dataset\cat\0034.jpg,cat
C:\Repository\lab\dataset\cat\0035.jpg,dataset\cat\0035.jpg,cat
C:\Repository\lab\dataset\cat\0036.jpg,dataset\cat\0036.jpg,cat
C:\Repository\lab\dataset\cat\0037.jpg,dataset\cat\0037.jpg,cat
C:\Repository\lab\dataset\cat\0038.jpg,dataset\cat\0038.jpg,cat
C:\Repository\lab\dataset\cat\0039.jpg,dataset\cat\0039.jpg,cat
C:\Repository\lab\dataset\cat\0040.jpg,dataset\cat\0040.jpg,cat
C:\Repository\lab\dataset\cat\0041.jpg,dataset\cat\0041.jpg,cat
C:\Repository\lab\dataset\cat\0042.jpg,dataset\cat\0042.jpg,cat
C:\Repository\lab\dataset\cat\0043.jpg,dataset\cat\0043.jpg,cat
C:\Repository\lab\dataset\cat\0044.jpg,dataset\cat\0044.jpg,cat
